,Territory,Inventory Name,Total_revenue,ABC_revenue,Product_Margin,ABC_Margin_mode,ABC(Rev-Mar),total_revenue,CoV,std_dev,average_revenue,Territory_XYZ,ABC_XYZ
5871,Makindye,Krishna  Candles 12 x 8PC,3170762.57,C,0.2771083686456641,A,CA,3170762.57,1.307827186969298,376982.68113369466,288251.1427272727,Z,CAZ
5872,Makindye,Modern Tanganwizi Tea 8g,3169067.57,C,0.03961621580227248,B,CB,3169067.5699999994,1.2280511770880265,353797.92360090825,288097.05181818176,Z,CBZ
5873,Makindye,SWT M Rice  50Kg,3166500.0,C,0.022222222222222223,C,CC,3166500.0,1.8536445331015379,533596.8558241836,287863.63636363635,Z,CCZ
5874,Makindye,Big Giant Lollipops 850 g,3162712.2,C,0.13194495432089698,A,CA,3162712.1999999997,1.4108309834873187,405641.1239648492,287519.2909090909,Z,CAZ
5875,Makindye,Magic Multi Active Sachet  500G,3141356.07,C,0.2735678910513219,A,CA,3141356.07,1.120300609483838,319933.0108933412,285577.8245454545,Z,CAZ
5876,Makindye,Oner Mango Juice 300ML,3114406.0700000003,C,0.03999965386654676,B,CB,3114406.0700000003,1.5056677488886956,426296.4342311082,283127.8245454546,Z,CBZ
5877,Makindye,Golden Baby Premium High Count Diapers Size 2 Small Mini,3050847.29,C,-0.08006696108987979,C,CC,3050847.29,0.49990622369728105,138648.8679837258,277349.75363636366,X,CCX
5878,Makindye,Pepsi Cola Soda 2L,2964407.1,C,0.04545466735535745,B,CB,2964407.0999999996,0.8698092717391085,234406.252799022,269491.5545454545,Y,CBY
5879,Makindye,Downy Valley Dew Fabric Softener 72X20ML,2926101.91,C,0.04172661217487601,B,CB,2926101.91,2.0364821801546937,541723.127002874,266009.2645454546,Z,CBZ
5880,Makindye,Fortune Butto Cooking Oil 50ML,2913898.26,C,0.04970767396806065,B,CB,2913898.26,1.4140419273353821,374579.48287541966,264899.8418181818,Z,CBZ
5881,Makindye,ALTECO SUPER GLUE,2860423.56,C,0.06149062701559546,B,CB,2860423.56,1.6835409989634778,437785.4852419152,260038.50545454546,Z,CBZ
5882,Makindye,Blue Band  250g,2817796.78,C,0.06403871989633873,B,CB,2817796.78,0.8841229887816267,226479.9009920767,256163.34363636363,Y,CBY
5883,Makindye,NAMI Soya Flour 25kg,2812000.0,C,0.14473684210526316,A,CA,2812000.0,1.4881072245508413,380414.31958517875,255636.36363636365,Z,CAZ
5884,Makindye,Champion  Ex . Books 96PGs,2808000.0,C,0.25925944444444443,A,CA,2808000.0,1.743483688328096,445063.83607502666,255272.72727272726,Z,CAZ
5885,Makindye,Meru  Star Bar Soap 1 KG,2805084.7600000002,C,0.03125008450520029,B,CB,2805084.76,1.4384143045885571,366806.7313061236,255007.70545454544,Z,CBZ
5886,Makindye,Royco Beef Cubes Spices 4g,2774236.92,C,0.019999151875185407,C,CC,2774236.92,1.3796934509491037,347963.31908229203,252203.35636363635,Z,CCZ
5887,Makindye,Blue Band  100g,2713813.27,C,0.0421314556604309,B,CB,2713813.27,1.0676902703936022,263410.1840040042,246710.29727272727,Z,CBZ
5888,Makindye,Kreamy Biscuits Chocolate,2712288.61,C,0.05945986629646562,B,CB,2712288.61,1.5865635753373157,391201.6649480253,246571.6918181818,Z,CBZ
5889,Makindye,Pembe  Cooking Oil 10L,2701271.14,C,-0.004800051353601605,C,CC,2701271.14,3.2457347884002687,797055.4283636048,245570.10363636364,Z,CCZ
5890,Makindye,Omo Extra Fresh Washing Powder 500g,2649661.07,C,0.036601356389444645,B,CB,2649661.07,0.9546527044422825,229955.10057553925,240878.27909090908,Y,CBY
5891,Makindye,Vim Lemon Scouring Powder 500g,2647457.34,C,0.02000100300015037,C,CC,2647457.34,1.13999272337687,274371.1002773349,240677.93999999997,Z,CCZ
5892,Makindye,Nataraj 621 Ruby Pencils With Rubber Tip,2646600.0,C,0.08484848484848485,A,CA,2646600.0,1.5355649900144956,369456.93659748766,240600.0,Z,CAZ
5893,Makindye,Lugazi Premium Sugar 25Kg,2644067.66,C,0.012820398389209177,C,CC,2644067.66,2.669831467695754,641746.8219440617,240369.7872727273,Z,CCZ
5894,Makindye,Jjimu  Maize Flour 10Kg,2625900.0,C,0.0410958904109589,B,CB,2625900.0,1.261362330323533,301110.1221087787,238718.18181818182,Z,CBZ
5895,Makindye,Fortune Golden Cooking Oil 5L,2606355.78,C,0.09867751480162722,A,CA,2606355.78,1.1826256977506666,280213.02935536206,236941.43454545454,Z,CAZ
5896,Makindye,Softcare A+ 10s Sanitary Pads Cotton Purple,2565000.0,C,0.05031377777777784,B,CB,2565000.0,3.3166247903553994,773376.5988419636,233181.81818181818,Z,CBZ
5897,Makindye,Golden Baby Premium High Count Diapers Size 4 Large Maxi,2526948.94,C,-0.08006696108987979,C,CC,2526948.94,0.7427196935381617,170619.5220275802,229722.6309090909,Y,CCY
5898,Makindye,Dettol Bath Soap Original 100g,2499915.12,C,0.05060770003683038,B,CB,2499915.12,0.6503448807559509,147800.6364196726,227265.01090909092,Y,CBY
5899,Makindye,Sensodyne Toothpaste Repair and Protect Hypernova 75ml,2495423.7,C,0.0005784045039157959,C,CC,2495423.7,3.102841190135275,703900.313018161,226856.7,Z,CCZ
